,mdot,m,Z,tage,is_bh,mdot_gs,LEdd,MEdd,mdot_ratio,XLsph,XLsph2,LXtot,b,Lx,ratio,ratio_beamed,theta,theta_deg,theta_half_deg,zeta,R_g,a*,r_schw,r_isco_nospin,r_isco,r_sph,r_out,P_inflow_at_rsph,P_envelope,P_wind,P_inflow_days,P_envelope_days,P_wind_days
3,36.0,24.6,0.0002,10,1,2.2689938398357288e+21,2.952000000000001e+39,3.936000000000001e+19,57.64720121533863,9.090313078723894e+41,1.798515736068894e+41,1.4920416691514013e+40,0.021966780277582528,6.7922638197189744e+41,5.054341697667348,230.09023779535815,0.41997788487797627,24.062960292339202,12.031480146169601,4.691952563854292,3628386.8400000012,0.998,2.0,5.999999999999999,1.25,72.0590015191733,13670.812079953577,11.113106295742405,399988.6013594701,34855964.85352237,0.00012862391545998158,4.629497700919792,403.42551913799036
22,11.0,24.6,0.0002,10,1,6.933036732831395e+20,2.952000000000001e+39,3.936000000000001e+19,17.614422593575693,6.496234423895943e+40,1.6791697844470386e+40,1.1420455630492365e+40,0.2352805557003881,4.853973417605937e+40,3.868718032009608,16.442999382133927,1.400381017499576,80.23592201296158,40.11796100648079,2.0,3628386.8400000012,0.998,2.0,5.999999999999999,1.25,22.018028241969613,914.9312969447093,0.3962673940800103,684.23999750796,14676.191126822132,4.586428172222342e-06,0.007919444415601388,0.169863323227108
35,9.5,13.8,0.0002,10,1,5.98762263289984e+20,1.6560000000000005e+39,2.2080000000000004e+19,27.11785612726377,9.60064386619314e+40,2.2326079751707353e+40,7.121118628629829e+39,0.0992686591039573,7.173581967267602e+40,4.300192408592891,43.318731686398564,0.8986921672643325,51.4912682657113,25.74563413285565,2.073618355615625,2035436.5200000003,0.998,2.0,5.999999999999999,1.25,33.89732015907971,3219.959974787612,0.7506504305362894,6773.419193537088,302266.55389711744,8.688083686762609e-06,0.07839605548075335,3.4984554849203406
48,14.0,25.9,0.0002,10,1,8.823864932694503e+20,3.108e+39,4.144e+19,21.293110358818783,1.048464536153408e+41,2.5834535347936573e+40,1.261345611398837e+40,0.16100696002385145,7.834106123188602e+40,4.058383563059321,25.206261657620985,1.1507325980355516,65.93212121556135,32.96606060778068,2.0,3820130.86,0.998,2.0,5.999999999999999,1.25,26.616387948523478,1616.2203262670237,0.7130812246087985,2629.310612542898,78550.79234423165,8.253254914453689e-06,0.03043183579332058,0.909152689169348
51,5.8,14.4,0.0002,10,1,3.655601186402008e+20,1.7280000000000002e+39,2.3040000000000004e+19,15.866324593758712,3.0019980623047804e+40,7.975131313707756e+39,6.504535721871316e+39,0.2899814321583652,2.2430869705888774e+40,3.764198913119973,12.980827376093039,1.5625434997532648,89.52714784146308,44.76357392073154,2.0,2123933.76,0.998,2.0,6.0,1.25,19.832905742198392,668.670638978037,0.1724603925515367,196.03841498009896,3515.673366460377,1.9960693582353784e-06,0.002268963136343738,0.040690663963661784
69,3.7,8.3,0.0002,10,1,2.3320214464978328e+20,9.96e+38,1.3280000000000002e+19,17.560402458568014,2.1766662374308361e+40,5.630794832095658e+39,3.8501839209691937e+39,0.2367303444270397,1.626400675539853e+40,3.8656465069971815,16.329324051604946,1.404874939747036,80.493404791201,40.2467023956005,2.0,1224211.8200000005,0.998,2.0,5.999999999999999,1.25,21.95050307321001,906.5393174962653,0.13254198595306568,226.06733083948845,4823.269008227192,1.5340507633456674e-06,0.0026165200328644497,0.05582487278040731
77,9.4,19.4,0.0002,10,1,5.924595026237738e+20,2.328e+39,3.104e+19,19.08696851236385,6.140250642748572e+40,1.5548851823217235e+40,9.193285561429306e+39,0.2003774963851536,4.587983045640277e+40,3.9490058253562315,19.70783095206305,1.2882600116047458,73.81186158042641,36.90593079021321,2.0,2861410.76,0.998,2.0,6.0,1.25,23.858710640454806,1164.1102696607902,0.39220107891923295,933.6908117528444,23019.79420608812,4.539364339342974e-06,0.010806606617509772,0.2664328033112051
103,13.0,14.8,0.0002,10,1,8.193588866073466e+20,1.776e+39,2.368e+19,34.60130433308051,1.771321026161704e+41,3.8982468516082846e+40,8.069951088821657e+39,0.0609730499498609,1.3235275413412491e+41,4.543891378841024,74.52294714759284,0.7020139329843533,40.22243551938325,20.11121775969163,2.730971539946732,2182931.9200000004,0.998,2.0,6.0,1.25,43.25163041635064,5078.94467006395,1.596375517150225,22012.88959008636,1202903.0335616537,1.847656848553501e-05,0.2547788147000737,13.922488814370992
108,24.0,26.6,0.0002,10,1,1.512662559890486e+21,3.192e+39,4.256e+19,35.54188345607345,3.378850949603378e+41,7.392395506649089e+40,1.4589712118937833e+40,0.057788574707043024,2.5246706970884507e+41,4.570711816709848,79.09369351780863,0.6832504729207981,39.14736844867927,19.57368422433964,2.8124131656671567,3923377.6400000006,0.998,2.0,6.0,1.25,44.42735432009181,5345.0951190082815,3.093500684546243,44777.535799599435,2504673.6751836874,3.5804406071137075e-05,0.5182585161990676,28.989278647959342
127,12.0,23.9,0.0002,10,1,7.56331279945243e+20,2.868e+39,3.824e+19,19.77853765547184,8.195838372150627e+40,2.056879921306128e+40,1.1427825323124261e+40,0.18660982394940376,6.123914101233345e+40,3.98459739300009,21.352559627731328,1.2416797386990053,71.14300853435988,35.57150426717994,2.0,3525140.0600000005,0.998,2.0,6.0,1.25,24.7231720693398,1295.2863380058998,0.5342970676780425,1466.580740390661,38479.01649812235,6.183993838866232e-06,0.01697431412489191,0.4453589872467865
142,14.0,24.8,0.0002,10,1,8.823864932694503e+20,2.976e+39,3.968e+19,22.23756283441155,1.106678330022096e+41,2.698042199643376e+40,1.2206905846695378e+40,0.14762111580487705,8.269078431049286e+40,4.101782878593877,27.78588182476239,1.1005571392596292,63.05727919256834,31.52863959628417,2.0,3657885.92,0.998,2.0,6.0,1.25,27.796953543014435,1840.9619573613106,0.7716842809045773,3384.814552707047,109203.64418719431,8.931531028988162e-06,0.03917609436003527,1.2639310669814157
210,4.1,7.6,0.0002,10,1,2.5841318731462472e+20,9.12e+38,1.216e+19,21.251084483110585,3.0629512996087123e+40,7.550895653362835e+39,3.6994440308535895e+39,0.16164440035089306,2.2886311080513416e+40,4.056407928567531,25.09463934266822,1.15307340485683,66.06623956707604,33.03311978353802,2.0,1120965.04,0.998,2.0,6.000000000000001,1.25,26.563855603888232,1606.669475841253,0.20808101996911207,761.2079792606482,22661.870432384043,2.40834513853139e-06,0.008810277537738984,0.26229016704148195
221,16.0,26.4,0.0002,10,1,1.0084417065936574e+21,3.1680000000000004e+39,4.224e+19,23.874093432614995,1.381361419722752e+41,3.3103993346273696e+40,1.3219411120303025e+40,0.1280763911365772,1.0321505004155058e+41,4.172793914237065,32.580508220186424,1.0233580793189063,58.63409887558746,29.31704943779373,2.0,3893878.56,0.998,2.0,6.0,1.25,29.842616790768748,2278.053487670188,1.0034114954918678,5847.000104829965,214099.4128565953,1.1613558975600321e-05,0.06767361232442089,2.4780024636180014
239,6.7,15.1,0.0002,10,1,4.222849646360941e+20,1.812e+39,2.416e+19,17.47868231109661,3.9184542535814763e+40,1.0148854019737064e+40,6.996099356322781e+39,0.23894914591182864,2.9278612106461834e+40,3.860981984725597,16.15817445168975,1.4117295793162992,80.88614670860315,40.443073354301575,2.0,2227180.54,0.998,2.0,6.000000000000001,1.25,21.848352888870764,893.9419456364357,0.2379658323764929,398.37844544841784,8431.53561823088,2.754234171024224e-06,0.004610861637134465,0.09758721780359816
248,12.0,24.8,0.0002,10,1,7.56331279945243e+20,2.976e+39,3.968e+19,19.060768143781328,7.825135048856305e+40,1.9822350854522762e+40,1.1748153423529458e+40,0.20092874095663815,5.846925316704588e+40,3.9476321987666183,19.64692646742133,1.2900948339165197,73.91698915504746,36.95849457752373,2.0,3657885.92,0.998,2.0,6.0,1.25,23.825960179726657,1159.3229818951695,0.4994274146372373,1182.4436278085273,29082.948687539912,5.78040989163469e-06,0.013685690136672769,0.33660820240208233
274,5.3,11.5,0.0002,10,1,3.34046315309149e+20,1.38e+39,1.84e+19,18.154691049410268,3.251199142535132e+40,8.338698019618296e+39,5.380522002527029e+39,0.22148541602715835,2.4292895211968596e+40,3.8989289873384263,17.603547255049712,1.3570014313973735,77.75045481228102,38.875227406140525,2.0,1696197.1,0.998,2.0,5.999999999999999,1.25,22.69336381176284,1001.7280555245495,0.20178752021549576,393.1843530661731,8885.615049184786,2.3355037061978678e-06,0.004550744827154781,0.10284276677297204
579,26.0,26.2,0.0002,20,1,1.6387177732146932e+21,3.144e+39,4.192e+19,39.09154993355661,4.109848075508005e+41,8.80825242806147e+40,1.4669609499646133e+40,0.04777020225481934,3.070870293032133e+41,4.665906329403986,97.67399150865565,0.6206799814086243,35.56234336297258,17.78117168148629,3.118155424957425,3864379.48,0.998,2.0,6.0,1.25,48.86443741694577,6414.519892456945,3.980074464957245,68585.7203020022,4173263.3619194836,4.6065676677745894e-05,0.7938162071990995,48.30165928147551
767,13.0,19.7,0.0002,20,1,8.193588866073466e+20,2.364e+39,3.152e+19,25.994888534497036,1.2469822619067945e+41,2.9286321524772916e+40,1.0065675420021938e+40,0.10803063803433854,9.317426614496593e+40,4.257899923867148,39.41381816622924,0.9382272633744771,53.75646241546667,26.878231207733336,2.0,2905659.38,0.998,2.0,6.000000000000001,1.25,32.49361066812129,2940.6756672553547,0.951409397135196,7792.301493064109,332479.8553816544,1.1011682837212917e-05,0.09018867468824203,3.848146474324704
777,8.9,19.6,0.0002,20,1,5.60945699292722e+20,2.3520000000000002e+39,3.136000000000001e+19,17.887299084589348,5.358678183139522e+40,1.3796479803511682e+40,9.135381826555571e+39,0.2281567504776681,4.00399366112542e+40,3.8840909126511782,17.02378257281216,1.3781224208445333,78.96059836674362,39.48029918337181,2.0,2890909.840000001,0.998,2.0,6.0,1.25,22.359123855736684,958.1148146572498,0.3297714451297302,605.5340859086409,13337.54069094479,3.816799133445952e-06,0.007008496364683344,0.1543696839229721
789,3.7,8.6,0.0002,20,1,2.3320214464978328e+20,1.032e+39,1.3760000000000002e+19,16.94783027978076,2.081440365354128e+40,5.434371756557438e+39,3.9527042927335604e+39,0.2541526531256184,1.5552480936643548e+40,3.830139818540272,15.070233465739873,1.4579806413624814,83.53613736184708,41.76806868092354,2.0,1268460.44,0.998,2.0,6.000000000000001,1.25,21.18478784972595,814.9398743714977,0.12418830855728386,183.7738059445984,3688.5649593241083,1.4373646823759706e-06,0.0021270116428772964,0.042691724066251255
881,9.5,16.0,0.0002,50,1,5.98762263289984e+20,1.92e+39,2.56e+19,23.389150909765004,7.995716726032613e+40,1.925624378584759e+40,7.972362774751239e+39,0.13344243189777916,5.974383606001953e+40,4.15227227851627,31.11658128126017,1.0450669278372862,59.877924273779456,29.938962136889728,2.0,2359926.4,0.998,2.0,6.000000000000001,1.25,29.23643863720625,2142.035269739311,0.5739769706197974,3081.0501305693874,108755.2169683651,6.643251974766173e-06,0.035660302437145686,1.2587409371338554
888,22.0,23.2,0.0002,50,1,1.386607346566279e+21,2.784e+39,3.712e+19,37.354723776031214,3.2906893118249084e+41,7.121995982309855e+40,1.2863358905110327e+40,0.052315671186205635,2.458796497004913e+41,4.620459376835607,88.31883969126842,0.6497894975053381,37.2301957789824,18.6150978894912,2.9688517621373363,3421893.28,0.998,2.0,6.0,1.25,46.693404720039034,5878.42957537092,3.102359988762253,49170.40045467805,2873361.4171483032,3.5906944314377925e-05,0.5691018571143293,33.25649788366091
991,0.24,1.3,0.0002,2000,0,1.512662559890486e+19,1.56e+38,8.666666666666668e+17,17.453798767967147,3.362663867087836e+39,8.712563614974978e+38,6.020909418257477e+38,0.23963096193771624,2.5125757412860543e+39,3.859557319395818,16.10625475183368,1.413830410089241,81.00651544536392,40.50325772268196,2.0,191744.02,0.001,2.0,6.0,6.0,104.72279260780287,4272.621093906002,2252.0741256757638,3748771.8641105588,79146827.56133178,0.02606567275087689,43.38856324202036,916.0512449228216
